"Prodotto","Lotto","Scadenza","Quantità","Costo medio","Ultimo costo","Totale residuo","Totale"
"Cab: Pro Heal Serum advanced","","","0","0","0","0","0"
"Elixir Nutritivo","","","0","0","0","0","0"
"Gift Card","","","0","0","0","0","0"
"Rehydra New Latte dettergete idratanrte 200ml","143007L5","","2","14.55","14.55","29.1","29.10"
"Youth Serum 30 ml","","","0","0","0","0","0"
"Cab:Hydra Cool Serum","","","0","0","0","0","0"
"Cream Cleanser 120 ml","","","0","0","0","0","0"
"Crema idratazione quotidiana","","","0","0","0","0","0"
"HL Vitalise Moisturazing Cream giorno","","","0","0","0","0","0"
"Rehydra New tonico idratante 200ml","170828L5","","2","14.55","14.55","29.1","29.10"
"Cab:Massage silk","E4206A1","31/07/2027","2","46.72","46.72","93.44","93.44"
"Cleansing Complex 180 ml","","","0","0","0","0","0"
"HL Vitalise Moisturazing Cream Notte","","","0","0","0","0","0"
"Mousse body lovely","","","0","0","0","0","0"
"Rehydra New Maschera Viso idratante minerale 75ml","140615L5","","2","11.68","11.68","23.36","23.36"
"Cab: Extreme protect spf 30","V4078A1","31/03/2027","1","83.52","83.52","83.52","83.52"
"HL Vitalise Serum","","","0","0","0","0","0"
"Lozione Papaina","","","0","0","0","0","0"
"Pro-Heal Serum Advanced 15ml","","","0","0","0","0","0"
"Rehydra New Scrub Viso idratante 75ml","129422L5","","2","10.245","10.245","20.49","20.49"
"Cab:Cleansing Complex","S5099A1","30/04/2028","2","52.46","52.46","104.92","104.92"
"Hydra-Cool Serum 15 ml","","","0","0","0","0","0"
"Rehydra New Crema idratante 100h 50ml","122709L5","","2","19.465","19.465","38.93","38.93"
"Rehydra New Crema idratante 100h 50ml","","","-2","0","0","0","0"
"Cab: Intensive Resurfacing Masque","S4347B1","31/12/2027","1","83.52","83.52","83.52","83.52"
"Rehydra New Crema idro nutriente 50ml","108117G5","","2","23.77","23.77","47.54","47.54"
"Reparative Moisture Emulsion 50g","","","0","0","0","0","0"
"Cab:Rejuvenating Masque","S4290A1","31/10/2027","1","83.52","83.52","83.52","83.52"
"Moisturazing Complex 50g","","","0","0","0","0","0"
"Rehydra New Contorno occhi idratante 15ml","10903015","","2","12.91","12.91","25.82","25.82"
"Cab: Foaming Enzyme Masque System","","","0","0","0","0","0"
"Eye Complex 15g","","","0","0","0","0","0"
"Rehydra New Mousse Dettergente Idratante 150ml","140116L6","","2","12.705","12.705","25.41","25.41"
"Cab: Hydra Sensitive Cooling Masque","S5150B1","31/05/2028","1","86.07","86.07","86.07","86.07"
"Rehydra New Siero concentrato idratante 30ml","175502N5","","2","21.105","21.105","42.21","42.21"
"Youth Eye Complex 15g","","","0","0","0","0","0"
"C Eye Serum Advanced 15ml","","","0","0","0","0","0"
"Cab: Youth Eye Complex","","","0","0","0","0","0"
"Fuoco Riducente Ridensificante Corpo 200ml","030130E5","","1","32.38","32.38","32.38","32.38"
"Cab: Copper Firming Mix","","","0","0","0","0","0"
"Fuoco Crema Zona Critiche 200ml","07630265","","2","25.82","25.82","51.64","51.64"
"Cab: Pro heal serum advanced","S5118B1","30/04/2028","1","94.18","94.18","94.18","94.18"
"Fuoco Riducente sculpting booster 100ml","129327L5","","2","18.445","18.445","36.89","36.89"
"75.25 Doppia Dettersione Longevity 150ml","116027M5","","2","22.95","22.95","45.9","45.90"
"75.25 Scrub fondente Longevity 80ml","116111L5","","3","18.853333333333335","18.853333","56.56","56.56"
"Cab: Hydra Cool Serum","","","0","0","0","0","0"
"75.25 pre-siero tonico longevity 100 ml","187728N5","","0","20.08","20.08","0","20.08"
"75.25 pre-siero tonico longevity 100 ml","187728M5","","1","20.08","20.08","20.08","20.08"
"75.25 crema giorno longevity 50ml refill","090215L5","","2","34.84","34.84","69.68","69.68"
"75.25 crema notte longevity 50ml refill","090705L5","","1","34.84","34.84","34.84","34.84"
"75.25 crema notte longevity 50ml refill","09070515","","1","34.84","34.84","34.84","34.84"
"75.25 labbra e contorno longevità 20ml","089413L5","","2","13.93","13.93","27.86","27.86"
"75.25 perfezionatore viso longevity 15ml","091402L5","","2","24.59","24.59","49.18","49.18"
"75.25 Contorno occhi longevity 15ml","155410N5","","2","27.05","27.05","54.1","54.10"
"75.25 Contorno occhi longevity 15ml","","","-1","0","0","0","0"
"75.25 Kit Trattamento intensivo longevity","0892","","2","31.97","31.97","63.94","63.94"
"75.25 3D olio longevity 30ml","089808L5","","2","61.48","61.48","122.96","122.96"
"75.25 3D olio longevity 30ml","","","1","61.48","61.48","61.48","61.48"
"75.25 Crema Notte Longivity 50ml ","090810N5","","2","43.445","43.445","86.89","86.89"
"75.25 Crema Notte Longivity 50ml ","","","-2","0","0","0","0"
"Sinecell creme cellulite tonificante corpo 250ml","087321G5","","2","24.18","24.18","48.36","48.36"
"Sinecell criogel ultra gambe 150ml","116709G5","","2","19.67","19.67","39.34","39.34"
"Cab: Sinecell Booster Corpo Active Alga + Caffein 50ml","014626B4","","1","20","20","20","20.00"
"Delay Dettergente Viso Age Proof 150ml","191824M5","","2","13.935","13.935","27.87","27.87"
"Cab: Sinecell Booster Corpo Active Alga + Pink Pepper 50ml","014827B4","","1","20","20","20","20.00"
"Delay Infinity Contorno occhi e labbra + Lipstic 30ml","131014L5","","2","24.18","24.18","48.36","48.36"
"Cab: Sinecell Booster Corpo Tasmanian Oil + Pink Pepper 50ml","014728B4","","1","20","20","20","20.00"
"Delay Infinity Siero Viso Retinolo 30ml","147407M5","","2","24.18","24.18","48.36","48.36"
"Cab: Fuoco Massaggio Corpo anti gravità","029609G5","","1","36","36","36","36.00"
"Delay Infinity Crema Giorno age proof 50ml","188618M5","","2","22.54","22.54","45.08","45.08"
"Cab: Scrub Salino drenante","105023G5","","1","70","70","70","70.00"
"Delay Infinity Crema notte age proof 50ml","10200555","","2","22.54","22.54","45.08","45.08"
"Cab: Fuoco fango riducente corpo ","039528E5","","1","65","65","65","65.00"
"Delay Infinity crema notte age pro refill 50ml","206521A5","","1","18.03","18.03","18.03","18.03"
"Cab: Scrub levigante nutriente corpo","154313L5","","1","55","55","55","55.00"
"Equilibrium Struccante occhi e labra 125ml","128617M5","","1","10","10","10","10.00"
"Cab: Sinecell fango Cellulite","154106L5","","1","75","75","75","75.00"
"Sinecell Bende Salino Drenanti","1813","","1","11","11","11","11.00"
"Cab: 75.25 kit professionale","06M5","","1","180","180","180","180.00"
"Sinecell Bende Thermo Riducenti","1812","","1","11","11","11","11.00"
"Booster Viso Niacinamide Glycogen 30 ml Rughe","123825H5","","1","21","21","21","21.00"
"Cab: Delay infinity age proof kit prof","04N5","","1","150","150","150","150.00"
"Booster Viso Vitamin C + Alpha Arbutin age care macchie","129001H5","","1","29","29","29","29.00"
"Cab: Rehydra kit prof. idro nutriente","19452L5","","1","68.25","68.25","68.25","68.25"
"Booster Viso Vitamin B12 + Resveratol","038728B5","","2","21","21","42","42.00"
"Cab: Fuoco polvere riscaldante modellante 5x","24112607","","1","52","52","52","52.00"
"Cab: Fuoco sculpting drops","029805H5","","1","20","20","20","20.00"
"Delay Infinity fiala age proof (10x1,5)","L.224","","16","22.54125","22.54125","360.66","360.66"
"Cab: Rehydra Latte detergent Idratante 500ml","130030T5","","4","17.6225","17.6225","70.49","70.49"
"Rehydra Fiala Acido Ilauronico (10x 1.5)","060203N5","","16","21.10625","21.10625","337.7","337.70"
"Cab: Rehydra tonico idratante 500 ml","185229L5","","4","17.6225","17.6225","70.49","70.49"
"Delay Infinity Crema Giorno age proof refill 50ml","175420AB","","10","22","22","220","220.00"
"Cab: Body Esfoliante Acido Corpo ","232824B5","","1","49","49","49","49.00"
"Sinecell Leggins Cellulite ","076108G4","","2","14.345","14.345","28.69","28.69"
"Cab: Sinecell crema cellulite tonificante corpo","105214G5","","1","39","39","39","39.00"
"Sinecell kit leggings cellulite refill","076108G4","","2","24.59","24.59","49.18","49.18"
"Cab: Body crema massaggio tech 500ml","120730G5","","4","35","35","140","210.00"
"Cab: Body Crema massage professionale corpo smooth touch 500ml","105114G5","","2","29","29","58","116.00"
"Cab: Crema professionale viso e corpo 500 ml primula della notte","152431L5","","2","0","0","0","0.00"
"Cab: Body oilio dry touch","169829L5","","2","29","29","58","58.00"
"Cab: 75.25 longevity cream to oil cleanser","146829I5","","1","36.89","36.89","36.89","36.89"
"Cab: 75.25 longevity pre serum toner","088710M5","","1","32.79","32.79","32.79","32.79"
"Cab: 75.25 rehydrate crema idratante 100h","122703M5","","1","30.12","30.12","30.12","30.12"
