objective_id,objective_name
1,Anti-fotoinvecchiamento / Rinnovo
2,Ceretta Donna — Corpo
3,Ceretta Donna — Viso
4,Ceretta Uomo — Corpo
5,Ceretta Uomo — Viso
6,Decontratturante
7,Detersione & Skin Reset
8,Diagnosi & Piano
9,Drenaggio & leggerezza
10,Glow / Hydro-dermo
11,Laser Donna — Corpo
12,Laser Donna — Viso
13,Laser Uomo — Corpo
14,Laser Uomo — Viso
15,Lift & compattezza
16,Lifting & Tono
17,Pacchetti
18,Protocolli professionali
19,Relax & rituali
20,Rimodellamento & drenaggio meccanico
21,Viso lifting manuale
