id,card_media_id,area_id,updated_at,created_at,slug,name_it
1,,1,,,lift-compattezza,Lift & compattezza
2,,1,,,rimodellamento-drenaggio-meccanico,Rimodellamento & drenaggio meccanico
3,,2,,,ceretta-donna-corpo,Ceretta Donna — Corpo
4,,2,,,ceretta-donna-viso,Ceretta Donna — Viso
5,,2,,,ceretta-uomo-corpo,Ceretta Uomo — Corpo
6,,2,,,ceretta-uomo-viso,Ceretta Uomo — Viso
7,,2,,,laser-donna-corpo,Laser Donna — Corpo
8,,2,,,laser-donna-viso,Laser Donna — Viso
9,,2,,,laser-uomo-corpo,Laser Uomo — Corpo
10,,2,,,laser-uomo-viso,Laser Uomo — Viso
11,,3,,,decontratturante,Decontratturante
12,,3,,,drenaggio-leggerezza,Drenaggio & leggerezza
13,,3,,,pacchetti,Pacchetti
14,,3,,,relax-rituali,Relax & rituali
15,,3,,,viso-lifting-manuale,Viso lifting manuale
16,,4,,,anti-fotoinvecchiamento-rinnovo,Anti-fotoinvecchiamento / Rinnovo
17,,4,,,detersione-skin-reset,Detersione & Skin Reset
18,,4,,,diagnosi-piano,Diagnosi & Piano
19,,4,,,glow-hydro-dermo,Glow / Hydro-dermo
20,,4,,,lifting-tono,Lifting & Tono
21,,4,,,protocolli-professionali,Protocolli professionali
