service_id,area,objective,treatment,service_name,kind,price,duration_minutes,active,gender,modality,intent_code,zone_code
1,Viso,Detersione & Skin Reset,Trattamenti viso di base,Pulizia viso + 15 min Thermoactive + maschera,Singolo,125.0,90.0,True,unisex,device,cleansing,face
2,Viso,Detersione & Skin Reset,Trattamenti viso di base,Pulizia Viso con Ultrasuoni etc (90 min),Singolo,135.0,90.0,True,unisex,device,cleansing,face
3,Viso,Detersione & Skin Reset,Trattamenti viso di base,Pulizia viso con Ultrasuoni etc (75 min),Singolo,120.0,75.0,True,unisex,device,cleansing,face
4,Viso,Detersione & Skin Reset,Trattamenti viso di base,Pulizia Viso Personalizzato (90 min),Singolo,135.0,90.0,True,unisex,manual,cleansing,face
5,Viso,Detersione & Skin Reset,Trattamenti viso di base,Pulizia Viso Personalizzato (60 min),Singolo,110.0,60.0,True,unisex,manual,cleansing,face
6,Viso,Glow / Hydro-dermo,Trattamenti Viso Avanzati,Hydroficial treatment,Singolo,170.0,90.0,True,unisex,device,hydrafacial,face
7,Viso,Lifting & Tono,Trattamenti Viso Avanzati,RF lifting viso,Singolo,50.0,30.0,True,unisex,device,lifting,face
8,Viso,Lifting & Tono,Trattamenti Viso Avanzati,RF lifting collo + decoltee,Singolo,60.0,30.0,True,unisex,device,lifting,neck_decollete
9,Viso,Anti-fotoinvecchiamento / Rinnovo,Trattamenti viso con HL,Trat-to Renew Formula anti-fotoinvecchiamento con Thermoacti,Singolo,90.0,75.0,True,unisex,device,renewal,face
10,Viso,Protocolli professionali,IS Clinical,Foaming Enzyme,Singolo,140.0,90.0,True,unisex,device,professional_protocol,face
11,Viso,Protocolli professionali,IS Clinical,Red Carpet,Singolo,150.0,90.0,True,unisex,device,professional_protocol,face
12,Viso,Diagnosi & Piano,Skin Analyser,Skin analyser consultation,Singolo,0.0,15.0,True,unisex,consultation,consultation,face
13,Corpo,Rimodellamento & drenaggio meccanico,Icoone — Corpo,Icoone Corpo promo 5,Singolo,400.0,60.0,True,unisex,device,body_contouring,body
14,Corpo,Rimodellamento & drenaggio meccanico,Icoone — Corpo,Icoon Corpo base + 2 focus (20 sedute),Pacchetto,1190.0,45.0,True,unisex,device,body_contouring,body
15,Corpo,Rimodellamento & drenaggio meccanico,Icoone — Corpo,Icoon Corpo base + 2 focus (15 sedute),Pacchetto,950.0,45.0,True,unisex,device,body_contouring,body
16,Corpo,Rimodellamento & drenaggio meccanico,Icoone — Corpo,Icoon Corpo base + 2 focus (10 sedute),Pacchetto,670.0,45.0,True,unisex,device,body_contouring,body
17,Corpo,Rimodellamento & drenaggio meccanico,Icoone — Corpo,Icoon Corpo base + 2 focus seduta singola,Singolo,75.0,40.0,True,unisex,device,body_contouring,body
18,Corpo,Rimodellamento & drenaggio meccanico,Icoone — Corpo,Icoon Corpo base + 1 focus (20 sedute),Pacchetto,950.0,45.0,True,unisex,device,body_contouring,body
19,Corpo,Rimodellamento & drenaggio meccanico,Icoone — Corpo,Icoon Corpo base + 1 focus (15 sedute),Pacchetto,760.0,45.0,True,unisex,device,body_contouring,body
20,Corpo,Rimodellamento & drenaggio meccanico,Icoone — Corpo,Icoon Corpo base + 1 focus (10 sedute),Pacchetto,540.0,45.0,True,unisex,device,body_contouring,body
21,Corpo,Rimodellamento & drenaggio meccanico,Icoone — Corpo,Icoon Corpo base + 1 focus (1 seduta),Singolo,60.0,40.0,True,unisex,device,body_contouring,body
22,Corpo,Lift & compattezza,Icoone — Viso,Icoon Viso 10 sedute,Pacchetto,450.0,35.0,True,unisex,device,lifting,face
23,Corpo,Lift & compattezza,Icoone — Viso,Icoon Viso 5 sedute,Pacchetto,220.0,35.0,True,unisex,device,lifting,face
24,Corpo,Lift & compattezza,Icoone — Viso,Icoon Viso Seduta singola,Singolo,50.0,45.0,True,unisex,device,lifting,face
25,Massaggio,Relax & rituali,Massaggi,Massaggio Ayurvedico,Singolo,80.0,90.0,True,unisex,manual,massage,body
26,Massaggio,Drenaggio & leggerezza,Massaggi,Massaggio Drenante,Singolo,55.0,60.0,True,unisex,manual,massage,body
27,Massaggio,Decontratturante,Massaggi,Massaggio corpo De contrutunante (60 min),Singolo,65.0,60.0,True,unisex,manual,massage,body
28,Massaggio,Decontratturante,Massaggi,Massaggio corpo De contrutunante (45 min),Singolo,50.0,45.0,True,unisex,manual,massage,body
29,Massaggio,Drenaggio & leggerezza,Massaggi,Massaggio corpo LimfoDrenante,Singolo,70.0,90.0,True,unisex,manual,massage,body
30,Massaggio,Viso lifting manuale,Massaggi,Massaggio Viso Lifting profondo,Singolo,70.0,60.0,True,unisex,manual,lifting,face
31,Massaggio,Viso lifting manuale,Massaggi,Massaggio Viso Lifting Express,Singolo,50.0,45.0,True,unisex,manual,lifting,face
32,Massaggio,Viso lifting manuale,Massaggi,Massaggio Viso Kobido 90 min,Singolo,100.0,90.0,True,unisex,manual,lifting,face
33,Massaggio,Viso lifting manuale,Massaggi,Massaggio Viso Kobido 60 min,Singolo,70.0,60.0,True,unisex,manual,lifting,face
34,Massaggio,Pacchetti,Massaggi pac,Massaggio Drenante - 5 sessione,Singolo,275.0,60.0,True,unisex,manual,massage,body
35,Epilazione,Laser Donna — Viso,Laser Donna Viso,Zigomi,Singolo,40.0,30.0,True,female,laser,hair_removal,cheekbones
36,Epilazione,Laser Donna — Viso,Laser Donna Viso,Viso totale,Singolo,150.0,45.0,True,female,laser,hair_removal,full_face
37,Epilazione,Laser Donna — Viso,Laser Donna Viso,Mento,Singolo,45.0,30.0,True,female,laser,hair_removal,chin
38,Epilazione,Laser Donna — Viso,Laser Donna Viso,Labbra,Singolo,40.0,30.0,True,female,laser,hair_removal,upper_lip
39,Epilazione,Laser Donna — Viso,Laser Donna Viso,Guance,Singolo,60.0,30.0,True,female,laser,hair_removal,cheeks
40,Epilazione,Laser Donna — Viso,Laser Donna Viso,Fronte bassa,Singolo,50.0,30.0,True,female,laser,hair_removal,low_forehead
41,Epilazione,Laser Donna — Viso,Laser Donna Viso,Collo posteriore,Singolo,60.0,30.0,True,female,laser,hair_removal,neck_back
42,Epilazione,Laser Donna — Viso,Laser Donna Viso,Collo anteriore,Singolo,60.0,30.0,True,female,laser,hair_removal,neck_front
43,Epilazione,Laser Donna — Viso,Laser Donna Viso,Basette,Singolo,50.0,30.0,True,female,laser,hair_removal,sideburns
44,Epilazione,Laser Uomo — Viso,Laser Uomo Viso,Viso totale,Singolo,170.0,30.0,True,male,laser,hair_removal,full_face
45,Epilazione,Laser Uomo — Viso,Laser Uomo Viso,Zigomi,Singolo,45.0,30.0,True,male,laser,hair_removal,cheekbones
46,Epilazione,Laser Uomo — Viso,Laser Uomo Viso,Mento,Singolo,60.0,30.0,True,male,laser,hair_removal,chin
47,Epilazione,Laser Uomo — Viso,Laser Uomo Viso,Labbra,Singolo,50.0,30.0,True,male,laser,hair_removal,upper_lip
48,Epilazione,Laser Uomo — Viso,Laser Uomo Viso,Guance,Singolo,80.0,30.0,True,male,laser,hair_removal,cheeks
49,Epilazione,Laser Uomo — Viso,Laser Uomo Viso,Fronte bassa,Singolo,60.0,30.0,True,male,laser,hair_removal,low_forehead
50,Epilazione,Laser Uomo — Viso,Laser Uomo Viso,Collop Posteriore,Singolo,70.0,30.0,True,male,laser,hair_removal,neck_back
